DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,COLLISION
2017-01-23 17:35:00,17:35,BROOKLYN,11218.0,40.642685,-73.99122,"(40.642685, -73.99122)",FORT HAMILTON PARKWAY,40 STREET,,1,0,2,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3603448,PASSENGER VEHICLE,,,,,1
2017-01-23 17:35:00,17:35,QUEENS,11694.0,40.583138,-73.82798000000003,"(40.583138, -73.82798)",ROCKAWAY FREEWAY,BEACH 106 STREET,,1,0,2,0,0,0,0,0,Driver Inattention/Distraction,,,,,3603513,PASSENGER VEHICLE,,,,,1
2017-01-23 17:40:00,17:40,BROOKLYN,11234.0,40.630806,-73.92331,"(40.630806, -73.92331)",EAST 55 STREET,AVENUE I,,1,0,2,0,0,0,0,0,Unspecified,,,,,3604434,,,,,,1
2017-01-23 17:40:00,17:40,,,40.862713,-73.90299,"(40.862713, -73.90299)",WEST FORDHAM ROAD,,,1,0,2,0,0,0,0,0,Driver Inattention/Distraction,,,,,3604719,PASSENGER VEHICLE,,,,,1
2017-01-23 17:45:00,17:45,BROOKLYN,11226.0,40.639065,-73.95598000000003,"(40.639065, -73.95598)",EAST 23 STREET,NEWKIRK AVENUE,,1,0,2,0,0,0,0,0,Unspecified,,,,,3603702,SPORT UTILITY / STATION WAGON,,,,,1
2017-01-23 17:45:00,17:45,MANHATTAN,10009.0,40.73027,-73.97993000000002,"(40.73027, -73.97993)",,,505       EAST 14 STREET,1,0,2,0,0,0,0,0,Driver Inattention/Distraction,,,,,3603444,TAXI,,,,,1
2017-01-23 17:45:00,17:45,QUEENS,11361.0,,,,42 AVENUE,CORPORAL KENNEDY STREET,,1,0,2,0,0,0,0,0,Driver Inattention/Distraction,,,,,3603351,PASSENGER VEHICLE,,,,,1
2017-01-23 18:00:00,18:00,BRONX,10460.0,40.842625,-73.87818,"(40.842625, -73.87818)",BOSTON ROAD,EAST 180 STREET,,1,0,3,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3603222,SPORT UTILITY / STATION WAGON,,,,,1
2017-01-23 18:00:00,18:00,BROOKLYN,11211.0,40.70811,-73.96103000000002,"(40.70811, -73.96103)",,,325       ROEBLING STREET,1,0,2,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,,3604582,,,,,,1
2017-01-23 18:05:00,18:05,MANHATTAN,10025.0,40.790928,-73.96893,"(40.790928, -73.96893)",WEST 93 STREET,COLUMBUS AVENUE,,1,0,3,0,0,0,0,0,Driver Inattention/Distraction,,,,,3603223,PASSENGER VEHICLE,,,,,1
2017-01-23 18:09:00,18:09,,,40.678955,-73.86516,"(40.678955, -73.86516)",ELDERTS LANE,,,1,0,3,0,0,0,0,0,Unspecified,,,,,3603314,PASSENGER VEHICLE,,,,,1
2017-01-23 19:00:00,19:00,QUEENS,11377.0,40.748955,-73.8997,"(40.748955, -73.8997)",63 STREET,37 AVENUE,,1,0,2,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3603422,PASSENGER VEHICLE,,,,,1
2017-01-23 19:00:00,19:00,,,40.726665,-73.98309,"(40.726665, -73.98309)",AVENUE A,,,1,0,2,0,0,0,0,0,View Obstructed/Limited,,,,,3605894,SPORT UTILITY / STATION WAGON,,,,,1
2017-01-23 19:00:00,19:00,BRONX,10463.0,,,,Kingsbridge Road,Bailey Avenue,,2,0,4,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3603561,PASSENGER VEHICLE,,,,,1
2017-01-23 19:15:00,19:15,,,40.71552,-74.00925,"(40.71552, -74.00925)",WEST BROADWAY,,,1,0,2,0,0,0,0,0,Driver Inattention/Distraction,,,,,3603640,PASSENGER VEHICLE,,,,,1
2017-01-23 19:22:00,19:22,,,40.693657,-73.983604,"(40.693657, -73.983604)",MYRTLE AVENUE,DUFFIELD STREET,,1,0,2,0,0,0,0,0,Driver Inattention/Distraction,,,,,3603016,SPORT UTILITY / STATION WAGON,,,,,1
2017-01-23 19:45:00,19:45,BROOKLYN,11228.0,40.620304,-74.00743,"(40.620304, -74.00743)",BAY RIDGE PARKWAY,13 AVENUE,,1,0,2,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3603430,PASSENGER VEHICLE,,,,,1
2017-01-23 22:50:00,22:50,BRONX,10467.0,,,,EAST GUN HILL ROAD,WHITE PLAINS ROAD,,1,0,2,0,0,0,0,0,,,,,,3603472,,,,,,1
2017-01-23 23:15:00,23:15,MANHATTAN,10007.0,40.717186,-74.0129,"(40.717186, -74.0129)",WEST STREET,CHAMBERS STREET,,1,0,2,0,0,0,0,0,Unspecified,,,,,3603650,PASSENGER VEHICLE,,,,,1
2017-01-23 12:15:00,12:15,BRONX,10467.0,40.87801,-73.88053000000002,"(40.87801, -73.88053)",EAST 208 STREET,ROCHAMBEAU AVENUE,,1,0,2,0,0,0,0,0,Backing Unsafely,,,,,3604693,SPORT UTILITY / STATION WAGON,,,,,1
2017-01-23 18:26:00,18:26,MANHATTAN,10022.0,40.764896,-73.97256,"(40.764896, -73.97256)",EAST 60 STREET,5 AVENUE,,1,0,2,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3603337,SPORT UTILITY / STATION WAGON,,,,,1
2017-01-23 13:00:00,13:00,BROOKLYN,11201.0,40.688904,-73.98093399999998,"(40.688904, -73.980934)",FULTON STREET,FLATBUSH AVENUE,,1,0,2,0,0,0,0,0,Unspecified,,,,,3606824,PASSENGER VEHICLE,,,,,1
2017-01-23 16:15:00,16:15,,,40.858986,-73.8676,"(40.858986, -73.8676)",BOSTON ROAD,WHITE PLAINS ROAD,,1,0,2,0,0,0,0,0,Unspecified,,,,,3603568,SPORT UTILITY / STATION WAGON,,,,,1
2017-01-23 18:55:00,18:55,QUEENS,11368.0,40.73716,-73.86405,"(40.73716, -73.86405)",57 AVENUE,97 STREET,,1,0,2,0,0,0,0,0,Driver Inattention/Distraction,,,,,3604602,,,,,,1
2017-01-23 19:40:00,19:40,MANHATTAN,10009.0,,,,,,23        AVENUE A,1,0,2,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3605900,PASSENGER VEHICLE,,,,,1
2017-01-23 01:09:00,1:09,MANHATTAN,10003.0,40.7351,-73.99426,"(40.7351, -73.99426)",,,59        5 AVENUE,1,0,2,0,0,0,0,0,,,,,,3603718,,,,,,1
2017-01-23 21:10:00,21:10,,,40.677483,-73.93033,"(40.677483, -73.93033)",ATLANTIC AVENUE,,,1,0,2,0,0,0,0,0,Driver Inattention/Distraction,,,,,3603823,SPORT UTILITY / STATION WAGON,,,,,1
2017-01-23 21:22:00,21:22,BROOKLYN,11208.0,40.67086,-73.863174,"(40.67086, -73.863174)",ELDERTS LANE,DUMONT AVENUE,,1,0,2,0,0,0,0,0,Driver Inattention/Distraction,,,,,3603251,SPORT UTILITY / STATION WAGON,,,,,1
2017-01-23 15:16:00,15:16,BRONX,10455.0,40.81231,-73.91648,"(40.81231, -73.91648)",BROOK AVENUE,EAST 145 STREET,,2,0,4,0,0,0,0,0,Unspecified,,,,,3603765,,,,,,1
2017-01-23 23:50:00,23:50,,,40.75595,-73.88165,"(40.75595, -73.88165)",86 STREET,,,1,0,3,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,,3603659,TAXI,,,,,1
2017-01-23 06:45:00,6:45,MANHATTAN,10017.0,40.752743,-73.97511,"(40.752743, -73.97511)",EAST 44 STREET,LEXINGTON AVENUE,,1,0,2,0,0,0,0,0,Driver Inattention/Distraction,,,,,3603006,TAXI,,,,,1
2017-01-23 14:20:00,14:20,BROOKLYN,11232.0,40.645947,-73.9951,"(40.645947, -73.9951)",39 STREET,9 AVENUE,,1,0,2,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,,3603441,PASSENGER VEHICLE,,,,,1
2017-01-23 15:00:00,15:00,QUEENS,11372.0,40.74763,-73.88394,"(40.74763, -73.88394)",ROOSEVELT AVENUE,82 STREET,,1,0,2,0,0,0,0,0,Driver Inattention/Distraction,,,,,3608036,SPORT UTILITY / STATION WAGON,,,,,1
2017-01-23 18:40:00,18:40,BROOKLYN,11226.0,40.650387,-73.95872,"(40.650387, -73.95872)",FLATBUSH AVENUE,CHURCH AVENUE,,2,0,6,0,0,0,0,0,Unspecified,,,,,3604842,SPORT UTILITY / STATION WAGON,,,,,1
2017-01-23 20:15:00,20:15,MANHATTAN,10033.0,40.848625,-73.93425,"(40.848625, -73.93425)",WEST 180 STREET,SAINT NICHOLAS AVENUE,,1,0,2,0,0,0,0,0,,,,,,3603736,,,,,,1
2017-01-23 20:15:00,20:15,,,,,,WHITESTONE EXPRESSWAY,,,1,0,2,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3603361,,,,,,1
2017-01-23 20:18:00,20:18,STATEN ISLAND,10301.0,40.647255,-74.087944,"(40.647255, -74.087944)",,,456       RICHMOND TERRACE,1,0,3,0,0,0,0,0,Pavement Slippery,Pavement Slippery,,,,3604641,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,1
2017-01-23 21:00:00,21:00,,,40.71552,-74.00925,"(40.71552, -74.00925)",CHAMBERS STREET,,,1,0,2,0,0,0,0,0,Unspecified,,,,,3603676,PASSENGER VEHICLE,,,,,1
2017-01-23 18:55:00,18:55,BROOKLYN,11226.0,40.646885,-73.94915999999998,"(40.646885, -73.94916)",TILDEN AVENUE,NOSTRAND AVENUE,,1,0,2,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3606152,PASSENGER VEHICLE,,,,,1
2017-01-23 17:30:00,17:30,,,,,,GRAND CENTRAL PARKWAY,188 STREET,,1,0,2,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3604146,SPORT UTILITY / STATION WAGON,,,,,1
2017-01-23 17:00:00,17:00,BRONX,10462.0,40.848232,-73.86721999999997,"(40.848232, -73.86722)",,,1925      WHITE PLAINS ROAD,1,0,2,0,0,0,0,0,Unspecified,,,,,3603565,SPORT UTILITY / STATION WAGON,,,,,1
2017-01-23 17:15:00,17:15,BROOKLYN,11238.0,40.67794,-73.96566999999997,"(40.67794, -73.96567)",UNDERHILL AVENUE,SAINT MARKS AVENUE,,1,0,2,0,0,0,0,0,Unspecified,,,,,3603434,PICK-UP TRUCK,,,,,1
2017-01-23 18:45:00,18:45,,,40.635853,-74.16619,"(40.635853, -74.16619)",SOUTH AVENUE,ARLINGTON PLACE,,1,0,2,0,0,0,0,0,Unspecified,,,,,3605201,PICK-UP TRUCK,,,,,1
2017-01-23 18:50:00,18:50,QUEENS,11422.0,40.654163,-73.72636999999997,"(40.654163, -73.72637)",HOOK CREEK BOULEVARD,HUNGRY HARBOR ROAD,,1,0,2,0,0,0,0,0,Unspecified,,,,,3602972,PASSENGER VEHICLE,,,,,1
2017-01-23 20:50:00,20:50,BRONX,10470.0,40.89608,-73.86692,"(40.89608, -73.86692)",EAST 233 STREET,KATONAH AVENUE,,1,0,2,0,0,0,0,0,Alcohol Involvement,,,,,3603464,SPORT UTILITY / STATION WAGON,,,,,1
2017-01-23 23:13:00,23:13,,,,,,EASTCHESTER ROAD,PELHAM PARKWAY NORTH,,1,0,4,0,0,0,0,0,Unspecified,,,,,3603575,PASSENGER VEHICLE,,,,,1
2017-01-23 23:32:00,23:32,BROOKLYN,11219.0,40.633137,-73.9905,"(40.633137, -73.9905)",14 AVENUE,50 STREET,,1,0,2,0,0,0,0,0,Unspecified,,,,,3608107,SPORT UTILITY / STATION WAGON,,,,,1
2017-01-23 16:30:00,16:30,,,40.68444,-73.83192,"(40.68444, -73.83192)",LIBERTY AVENUE,110 STREET,,1,0,2,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3603556,SPORT UTILITY / STATION WAGON,,,,,1
2017-01-23 19:15:00,19:15,,,40.678112,-73.90784000000002,"(40.678112, -73.90784)",EASTERN PARKWAY,,,1,0,2,0,0,0,0,0,Driver Inattention/Distraction,,,,,3605512,SPORT UTILITY / STATION WAGON,,,,,1
2017-01-23 19:25:00,19:25,BROOKLYN,11223.0,40.59793,-73.9855,"(40.59793, -73.9855)",STILLWELL AVENUE,AVENUE T,,1,0,2,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3603812,PASSENGER VEHICLE,,,,,1
2017-01-23 19:25:00,19:25,MANHATTAN,10010.0,40.74345,-73.9882,"(40.74345, -73.9882)",5 AVENUE,EAST 26 STREET,,1,0,2,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3604229,PASSENGER VEHICLE,,,,,1
2017-01-23 19:27:00,19:27,,,40.776997,-73.8148,"(40.776997, -73.8148)",150 STREET,,,1,0,2,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3603255,,,,,,1
2017-01-23 19:27:00,19:27,,,40.82523,-73.94761,"(40.82523, -73.94761)",AMSTERDAM AVENUE,,,1,0,2,0,0,0,0,0,Unspecified,,,,,3604137,TAXI,,,,,1
2017-01-23 16:40:00,16:40,BROOKLYN,11237.0,40.70153,-73.92314,"(40.70153, -73.92314)",HART STREET,KNICKERBOCKER AVENUE,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3622780,PASSENGER VEHICLE,,,,,1
2017-01-23 17:25:00,17:25,,,40.776695,-73.906685,"(40.776695, -73.906685)",21 AVENUE,,,1,0,3,0,0,0,0,0,Driver Inattention/Distraction,,,,,3603420,PASSENGER VEHICLE,,,,,1
